  QueueTimes | ServiceTimes | SojournTimes
   52486.174 |     1965.528 |    54451.701
   54277.801 |     1912.720 |    56190.521
   55105.949 |     1179.288 |    56285.236
   53306.329 |      869.390 |    54175.718
   53205.500 |     1309.689 |    54515.189
   54497.221 |     3421.974 |    57919.195
   56639.636 |      660.628 |    57300.263
   57245.251 |     1428.622 |    58673.873
   57941.742 |      871.001 |    58812.743
   58745.286 |      692.045 |    59437.330
   55657.333 |     1281.988 |    56939.321
   56540.410 |      935.380 |    57475.790
   56116.155 |     1006.252 |    57122.407
   56934.536 |     1089.629 |    58024.165
   55215.395 |      675.001 |    55890.397
   55596.197 |      795.683 |    56391.881
   56259.768 |      371.752 |    56631.520
   56457.187 |     1272.349 |    57729.536
   57618.516 |     1572.329 |    59190.845
   58731.224 |     1587.775 |    60318.998
   59922.785 |     1221.936 |    61144.721
   60285.029 |     1486.125 |    61771.154
   60351.468 |      744.880 |    61096.348
   59893.233 |     1859.822 |    61753.054
   59016.102 |      872.305 |    59888.407
   59438.970 |     1147.486 |    60586.456
   59979.466 |     1102.430 |    61081.896
   60807.011 |     1327.063 |    62134.073
   61586.743 |     1127.824 |    62714.567
   62372.524 |     1005.657 |    63378.180
   63134.441 |      388.162 |    63522.602
   62773.116 |      416.046 |    63189.162
   61196.825 |      388.639 |    61585.464
   60342.285 |      881.735 |    61224.019
   60741.545 |     1934.913 |    62676.457
   62060.867 |      624.788 |    62685.655
   61099.347 |     2956.752 |    64056.099
   64052.979 |      763.020 |    64815.999
   63723.402 |      484.053 |    64207.455
   64000.840 |     2858.105 |    66858.944
   66715.165 |     1542.964 |    68258.129
   65338.651 |      836.655 |    66175.306
   65244.124 |     2021.893 |    67266.017
   66839.190 |      658.949 |    67498.139
   66785.653 |     2932.547 |    69718.200
   67920.495 |      920.334 |    68840.830
   68441.293 |      622.111 |    69063.404
   68064.491 |      661.885 |    68726.376
   68684.198 |     1133.710 |    69817.908
   68361.050 |     1051.221 |    69412.271
   68679.878 |     1933.922 |    70613.801
   70364.854 |     2680.387 |    73045.241
   72952.187 |     2056.133 |    75008.319
   73782.672 |      910.496 |    74693.168
   74389.797 |     2945.647 |    77335.444
   76860.218 |     1206.635 |    78066.853
   77802.215 |     1094.318 |    78896.533
   78262.703 |      448.016 |    78710.719
   74928.140 |      292.614 |    75220.754
   75186.009 |     1395.614 |    76581.623
   76549.581 |     2750.483 |    79300.064
   78404.704 |     1469.412 |    79874.116
   79474.411 |      822.462 |    80296.873
   79528.004 |      830.740 |    80358.744
   79842.028 |      838.902 |    80680.931
   77272.532 |     1196.273 |    78468.805
   76447.635 |      606.751 |    77054.386
   76893.868 |     1953.008 |    78846.876
   77826.657 |     1521.898 |    79348.555
   76661.675 |     1160.138 |    77821.814
   76132.383 |     2267.039 |    78399.422
   77549.007 |      262.082 |    77811.089
   74906.207 |      844.925 |    75751.132
   75582.333 |     1411.989 |    76994.322
   76573.436 |      487.455 |    77060.891
   76959.480 |     1585.025 |    78544.505
   78521.981 |     1945.435 |    80467.416
   78523.483 |     1949.046 |    80472.530
   79350.189 |     1276.997 |    80627.186
   79428.450 |      256.312 |    79684.761
   79471.715 |      774.602 |    80246.317
   79821.995 |      958.626 |    80780.621
   80629.073 |      536.184 |    81165.257
   80914.736 |      264.179 |    81178.915
   80297.070 |      460.685 |    80757.755
   80731.223 |     1581.541 |    82312.764
   80875.932 |      231.333 |    81107.265
   81026.889 |      860.733 |    81887.622
   79290.742 |     1007.912 |    80298.654
   79735.874 |     1176.440 |    80912.315
   79133.084 |      956.090 |    80089.175
   79168.880 |      718.016 |    79886.896
   79154.376 |      258.499 |    79412.875
   79236.928 |      912.483 |    80149.411
   79295.389 |     1500.337 |    80795.726
   80037.771 |      329.122 |    80366.893
   79267.211 |      350.353 |    79617.563
   78821.969 |     2009.883 |    80831.852
   79729.458 |     1018.748 |    80748.207
   79900.714 |     1973.210 |    81873.925
   81291.873 |      579.127 |    81871.000
   81173.369 |      509.143 |    81682.512
   81650.464 |     1631.403 |    83281.868
   82543.720 |      520.131 |    83063.851
   83028.286 |     1958.832 |    84987.118
   84873.856 |     1435.571 |    86309.427
   85506.992 |     1253.706 |    86760.698
   85816.365 |      884.694 |    86701.059
   85222.611 |      938.237 |    86160.848
   85494.086 |      582.917 |    86077.004
   84883.102 |      712.382 |    85595.485
   84928.426 |     1233.081 |    86161.508
   84922.208 |     1126.162 |    86048.371
   85724.618 |      766.267 |    86490.885
   86162.338 |      618.868 |    86781.207
   86025.294 |     1805.798 |    87831.092
   87562.821 |     1389.706 |    88952.527
   88042.651 |     2730.662 |    90773.313
   88244.545 |     1419.608 |    89664.153
   87942.922 |      545.172 |    88488.094
   88226.490 |     1269.838 |    89496.329
   87198.633 |      791.107 |    87989.739
   86935.700 |     3309.415 |    90245.115
   87497.360 |     1327.542 |    88824.902
   86867.718 |     1496.724 |    88364.442
   85318.965 |      536.914 |    85855.880
   85724.815 |     1055.904 |    86780.719
   85568.607 |     1455.141 |    87023.748
   86909.894 |     1379.253 |    88289.147
   88184.032 |      511.751 |    88695.783
   88273.383 |      404.069 |    88677.452
   87260.310 |      609.468 |    87869.777
   87468.283 |     2273.448 |    89741.731
   88890.452 |     1063.028 |    89953.480
   89727.363 |     1171.029 |    90898.391
   87235.365 |     1288.276 |    88523.641
   87846.843 |     1908.280 |    89755.123
   88120.951 |     1353.057 |    89474.008
   89300.300 |      985.744 |    90286.044
   90124.483 |      349.721 |    90474.203
   89995.275 |      388.530 |    90383.805
   89832.049 |      931.685 |    90763.734
   89710.315 |     1059.416 |    90769.732
   90707.854 |     1686.011 |    92393.865
   90114.543 |     1051.717 |    91166.260
   88851.558 |     1236.229 |    90087.787
   89900.620 |     1074.234 |    90974.855
   90943.058 |     1196.002 |    92139.061
   91400.576 |      882.980 |    92283.556
   91959.072 |     1595.581 |    93554.653
   92670.762 |      824.983 |    93495.745
   91825.130 |      842.669 |    92667.799
   89856.654 |     1631.929 |    91488.583
   90621.549 |     1447.754 |    92069.303
   89942.619 |     1296.853 |    91239.472
   91029.455 |     1720.968 |    92750.423
   91481.442 |      388.799 |    91870.241
   91794.678 |      464.288 |    92258.966
