xapian_ipc,xapian_cpu,xapian_llc,xapian_sla,mcf_ipc,mcf_cpu,mcf_llc,mcf_sla
0.22,100000,9,0.21275039257369632,0.15,64589,5,0.026873802283282323
0.23,100000,9,0.21310015702947854,0.16,71047,5,0.02674952091331293
0.21,100000,9,0.21124006281179142,0.08,71047,5,0.01869980836532517
0.23,100000,9,0.21249602512471658,0.15,71047,4,0.022479923346130068
0.23,100000,9,0.21299841004988662,0.15,71047,4,0.023991969338452025
0.21,100000,9,0.21119936401995465,0.16,71047,5,0.02559678773538081
0.24,100000,9,0.21347974560798189,0.17,71047,4,0.02723871509415233
0.22,100000,9,0.21239189824319277,0.19,71047,4,0.029895486037660936
0.23,100000,9,0.21295675929727712,0.12,71047,4,0.023958194415064374
0.21,100000,9,0.21118270371891085,0.49,71047,5,0.05858327776602575
0.22,100000,9,0.21147308148756433,0.16,71047,4,0.0394333111064103
0.22,100000,9,0.21158923259502574,0.15,71047,4,0.030773324442564122
0.22,100000,9,0.2116356930380103,0.15,71047,4,0.02730932977702565
0.23,100000,9,0.21265427721520413,0.16,71047,5,0.02692373191081026
0.22,100000,9,0.21206171088608167,0.19,71047,5,0.029769492764324106
0.23,100000,9,0.2128246843544327,0.27,71047,5,0.03890779710572965
0.23,100000,9,0.21312987374177308,0.45,71047,5,0.06056311884229187
0.23,100000,9,0.21325194949670923,0.16,71047,5,0.04022524753691675
0.23,100000,9,0.2133007797986837,0.16,71047,5,0.0320900990147667
0.20,100000,9,0.21032031191947348,0.17,78151,5,0.02983603960590668
0.20,100000,9,0.20912812476778941,0.21,78151,4,0.032934415842362674
0.21,100000,9,0.20965124990711576,0.21,78151,3,0.03417376633694507
0.11,100000,9,0.1998604999628463,0.24,78151,3,0.03766950653477803
0.21,100000,9,0.20594419998513852,0.15,78151,2,0.03006780261391121
0.21,100000,9,0.20837767999405543,0.15,78151,2,0.027027121045564484
0.21,100000,9,0.20935107199762218,0.22,78151,3,0.0328108484182258
0.21,100000,9,0.20974042879904886,0.03,78151,3,0.01612433936729032
0.45,100000,9,0.23389617151961956,0.18,78151,4,0.024449735746916126
0.21,100000,9,0.21955846860784783,0.35,78151,4,0.04477989429876645
0.20,100000,9,0.21282338744313914,0.24,78151,3,0.04191195771950658
0.22,100000,9,0.21212935497725566,0.24,78151,2,0.04076478308780263
0.20,100000,9,0.20985174199090229,0.21,78151,2,0.03730591323512106
0.22,100000,9,0.2109406967963609,0.20,70335,2,0.03492236529404843
0.11,100000,9,0.20037627871854435,0.12,70335,2,0.025968946117619372
0.25,100000,9,0.21015051148741776,0.11,63301,2,0.02138757844704775
0.23,100000,9,0.2120602045949671,0.11,63301,2,0.0195550313788191
0.26,100000,9,0.21582408183798685,0.12,63301,3,0.019822012551527643
0.22,100000,9,0.21332963273519473,0.12,63301,3,0.019928805020611055
0.25,100000,9,0.21533185309407787,0.12,63301,3,0.019971522008244424
0.25,100000,9,0.21613274123763115,0.13,63301,4,0.02098860880329777
0.23,100000,9,0.21445309649505245,0.13,63301,4,0.02139544352131911
0.22,100000,9,0.212781238598021,0.06,63301,4,0.014558177408527644
0.24,100000,9,0.2141124954392084,0.15,63301,5,0.020823270963411057
0.23,100000,9,0.2136449981756834,0.16,63301,5,0.024329308385364422
0.23,100000,9,0.21345799927027337,0.18,63301,5,0.027731723354145768
0.21,100000,9,0.21138319970810937,0.23,69631,5,0.03409268934165831
0.22,100000,9,0.21155327988324374,0.45,69631,4,0.05863707573666333
0.23,100000,9,0.2126213119532975,0.47,69631,4,0.07045483029466533
0.21,100000,9,0.21104852478131902,0.15,69631,4,0.04318193211786613
0.22,100000,9,0.2114194099125276,0.15,69631,3,0.032272772847146455
0.24,100000,9,0.21356776396501104,0.15,69631,4,0.027909109138858582
0.20,100000,9,0.21042710558600441,0.14,69631,4,0.025163643655543435
0.21,100000,9,0.21017084223440177,0.15,69631,3,0.025065457462217375
0.23,100000,9,0.2120683368937607,0.14,69631,2,0.024026182984886953
0.23,100000,9,0.2128273347575043,0.15,69631,2,0.024610473193954784
0.24,100000,9,0.2141309339030017,0.16,69631,3,0.025844189277581912
0.23,100000,9,0.2136523735612007,0.16,69631,3,0.026337675711032765
0.22,100000,9,0.2124609494244803,0.15,69631,3,0.025535070284413104
0.22,100000,9,0.21198437976979212,0.18,69631,3,0.028214028113765242
0.23,100000,9,0.21279375190791686,0.19,69631,3,0.0302856112455061
0.23,100000,9,0.21311750076316677,0.34,69631,3,0.04611424449820244
0.21,100000,9,0.21124700030526672,0.40,69631,4,0.058445697799280986
0.21,100000,9,0.2104988001221067,0.15,69631,3,0.038378279119712394
0.23,100000,9,0.21219952004884268,0.15,69631,2,0.03035131164788496
0.23,100000,9,0.2128798080195371,0.16,69631,2,0.028140524659153985
0.22,100000,9,0.21215192320781484,0.16,69631,2,0.027256209863661597
0.22,100000,9,0.21186076928312594,0.19,69631,3,0.029902483945464645
0.23,100000,9,0.21274430771325037,0.28,69631,3,0.03996099357818586
0.21,100000,9,0.21109772308530017,0.38,69631,3,0.05398439743127435
0.22,100000,9,0.21143908923412008,0.14,69631,2,0.03559375897250974
0.20,100000,9,0.20957563569364804,0.15,69631,3,0.0292375035890039
0.21,100000,9,0.20983025427745922,0.15,69631,2,0.026695001435601558
0.22,100000,9,0.2109321017109837,0.18,69631,2,0.028678000574240622
0.22,100000,9,0.2113728406843935,0.19,69631,2,0.030471200229696252
0.21,100000,9,0.2105491362737574,0.19,69631,3,0.031188480091878502
0.24,100000,9,0.21321965450950298,0.16,69631,2,0.028475392036751403
0.22,100000,9,0.21228786180380121,0.14,69631,2,0.025390156814700564
0.24,100000,9,0.2139151447215205,0.14,69631,2,0.02415606272588023
0.22,100000,9,0.21256605788860822,0.20,69631,3,0.029662425090352097
0.23,100000,9,0.2130264231554433,0.04,69631,3,0.01586497003614084
0.44,100000,9,0.23421056926217731,0.06,69631,3,0.012345988014456336
0.22,100000,9,0.22068422770487095,0.13,69631,4,0.017938395205782536
0.23,100000,9,0.21627369108194838,0.31,69631,3,0.03817535808231302
0.22,100000,9,0.21350947643277934,0.12,69631,3,0.027270143232925207
0.20,100000,9,0.21040379057311176,0.21,69631,3,0.03190805729317009
0.22,100000,9,0.21116151622924473,0.24,69631,2,0.03676322291726804
0.20,100000,9,0.2094646064916979,0.14,69631,3,0.02870528916690722
0.23,100000,9,0.21178584259667915,0.15,69631,2,0.02648211566676289
0.21,100000,9,0.21071433703867165,0.14,69631,2,0.02459284626670516
0.25,100000,9,0.21428573481546864,0.14,62667,2,0.023837138506682065
0.22,100000,9,0.21271429392618746,0.13,62667,2,0.02253485540267283
0.24,100000,9,0.214085717570475,0.12,62667,3,0.02101394216106913
0.23,100000,9,0.21363428702819,0.13,62667,3,0.021405576864427654
0.24,100000,9,0.214453714811276,0.13,62667,3,0.021562230745771065
0.23,100000,9,0.2137814859245104,0.14,62667,3,0.022624892298308427
0.19,100000,9,0.20951259436980418,0.13,62667,3,0.02204995691932337
0.24,100000,9,0.2128050377479217,0.17,62667,2,0.02581998276772935
0.24,100000,9,0.21412201509916867,0.20,62667,2,0.030327993107091743
0.25,100000,9,0.21564880603966746,0.30,62667,3,0.0421311972428367
0.24,100000,9,0.215259522415867,0.43,62667,3,0.05985247889713469
0.23,100000,9,0.2141038089663468,0.46,62667,3,0.06994099155885389
0.24,100000,9,0.2146415235865387,0.14,62667,3,0.04197639662354156
0.23,100000,9,0.21385660943461549,0.14,62667,3,0.030790558649416627
0.23,100000,9,0.21354264377384619,0.14,62667,3,0.026316223459766655
0.24,100000,9,0.2144170575095385,0.13,62667,4,0.023526489383906665
0.22,100000,9,0.2127668230038154,0.12,62667,4,0.021410595753562668
0.22,100000,9,0.21210672920152618,0.13,62667,4,0.02156423830142507
0.25,100000,9,0.2148426916806105,0.14,62667,5,0.02262569532057003
0.24,100000,9,0.2149370766722442,0.14,62667,5,0.023050278128228012
0.22,100000,9,0.2129748306688977,0.14,62667,5,0.023220111251291205
0.23,100000,9,0.21318993226755908,0.15,62667,5,0.024288044500516484
0.24,100000,9,0.21427597290702366,0.15,62667,5,0.024715217800206593
